Merchant_Category,Merchant_ID,Card_Type,Is_Chip,Is_Pin_Used,Distance_From_Home,Device_Type,Amount_Mean_User,Fraud_Flag
7,3947,2,1,1,0.6124124038499158,2,-0.8621114654498747,0
7,6255,1,1,0,-0.6490289741408263,1,1.5374537357325782,0
2,1632,2,0,0,0.25111577349250197,1,-0.32719553643712107,0
9,4030,2,0,0,-0.882323369743042,2,1.6412983947591273,0
0,7529,1,1,0,-0.4694129350488548,0,-0.19486398530121582,0
7,7072,3,0,0,-0.9504535914675829,2,-0.2028138156573152,0
2,4884,1,1,0,0.005434064849460481,2,-0.3649572306285934,0
5,3344,1,0,0,-0.24644130031399367,0,-0.4412259156074225,0
1,5095,0,0,0,-0.7790957610694952,1,2.4550794667319313,0
5,2830,2,1,0,1.5249444645240695,0,0.3860533058241759,0
0,2802,3,0,0,2.214504890463362,1,1.1132971619415228,0
4,9367,2,1,1,0.005434064849460481,0,0.8659415028408036,0
6,4048,2,0,0,-0.7378047176000765,1,1.496710855157569,0
1,3131,0,1,0,-0.2546995090078774,2,1.2149887419132945,0
8,2100,0,0,0,0.3192459952170429,1,-0.8805368535147927,0
0,6311,0,1,0,0.32337509956398464,1,-0.7540848644130859,0
2,2129,2,0,0,-1.0020673958043562,0,-0.4280590090801328,0
1,1906,2,0,1,-0.9360017262532863,2,-0.6600118718659091,0
2,8199,3,1,0,-0.38683084811001733,2,-0.5403503628600375,0
5,7359,0,0,0,-0.7150946436918962,0,-0.9863689701303666,0
2,8560,0,0,0,-0.463219278528442,2,0.44948632720721937,0
8,1666,3,1,0,-0.5148330828652155,0,-0.3883098572996355,0
5,7681,1,0,0,0.9778381385542714,1,-0.8662105967272385,0
6,5179,1,0,1,-0.5726405437224016,1,0.39590778303642415,0
9,6502,3,0,0,1.6963022949221573,2,0.04147784632699057,0
9,1900,0,0,0,-0.26915137422217406,0,-0.4085984868542643,0
7,9454,3,1,0,-0.20102115249763314,2,-0.13764176888387497,0
9,5843,0,1,0,-0.8079994914980884,1,-0.12828415606888294,0
1,9477,0,0,0,-0.6180606915387622,1,-0.4254918763609757,0
1,5318,3,0,1,-0.47560659156926766,0,-0.5723981164830633,0
1,9724,1,1,0,0.472022856053892,2,1.0439017677914049,0
3,6554,0,0,0,-0.9938091871104726,2,-0.6189377483593954,0
0,3500,3,0,0,0.011627721369873341,0,-0.43551197503897604,0
8,7339,2,1,0,0.9138370211766722,1,-0.7800046238032852,0
0,9358,0,1,0,-0.5065748741713316,2,0.29405058159889996,0
2,9095,2,1,0,-0.4818002480896804,1,-0.597034309513684,0
2,8052,2,0,0,-0.981421874069647,0,2.264946024048554,0
5,4667,0,1,0,0.7073818038295786,2,1.7652660618745533,0
2,1515,0,0,1,-0.8389677741001523,1,-0.9418167958430593,0
6,4093,1,0,1,-0.4157345785386105,1,-0.5493353273770872,0
0,8166,1,0,1,0.21808293871696696,0,-0.8549483370560976,0
9,6584,2,0,1,0.9881608994216262,2,0.7716200780949987,0
0,1539,0,0,0,-0.8183222523654431,2,1.6498279002453593,0
2,5412,1,0,0,1.0955176124421149,2,-0.3228065675946911,0
2,8577,1,0,0,-0.44463830896720363,1,-1.0941057336020892,0
5,8827,3,0,0,-0.7027073306510705,2,0.03766855261469286,0
1,6710,0,0,0,-0.6552226306612391,2,-0.578608921448766,0
9,2072,0,0,0,-0.11018085686491186,1,-0.23593810880772956,0
3,2194,2,1,0,-0.6985782263041288,2,-0.017690422312937104,0
1,4286,3,0,0,-0.5499304698142213,0,0.3489126921292737,0
3,4857,3,1,0,-0.8802588175695711,0,-0.42350441877195083,0
2,9734,0,1,0,-0.7357401654266056,2,-0.4271480910184964,0
1,4695,3,1,0,-0.6077379306714075,1,0.6185030330072085,0
0,7450,0,0,0,1.2937146210953245,0,-0.09623640244585703,0
9,5028,3,0,0,-0.04824429166078381,0,0.8816755420872505,0
7,3830,3,0,0,0.4699583038804211,1,-0.5336426934970785,0
8,3063,3,0,0,-0.32076517855894743,1,-0.6155425083114779,0
8,4163,0,0,0,-0.8224513567123849,0,0.45635961803593017,0
8,8675,2,0,0,-0.44670286114067453,1,0.05505880651866034,0
4,9335,0,1,0,-0.9979382914574145,0,-0.11163919876079981,0
3,7333,0,0,0,-0.8947106827838677,1,2.546005651429819,0
9,4049,0,0,1,0.5339594212580201,1,-0.40694227219674367,0
2,8649,2,0,0,1.1079049254829405,0,-0.19088907012316608,0
7,3818,3,0,0,0.1602754778597807,1,1.5758779157870593,0
9,1880,0,0,0,-0.30424876117117994,2,-0.9353575586787285,0
6,9749,0,0,0,1.8428854992385932,1,-0.740255472022788,0
2,5457,2,0,0,1.766497068820169,2,1.4356793450279304,0
